Carimbo de data/hora,1) Qual o seu sexo?,2) Qual sua idade?,4) Qual o seu curso de graduação?,5) Em que ano você ingressou nesse curso?,6) Qual o período/ano você está matriculado?,7) Qual o turno do seu curso?,8) Você exerce atividade remunerada?,9) O que você poderia dizer sobre suas atuações na área da computação?,10) Quais motivos o levaram a escolher o curso?,"11) Agora que você está na graduação, quais motivos o fazem continuar?","12) Agora que você está na graduação, suas perspectivas com o conteúdo do curso mudaram?",13) Quantas horas por dia você se dedica aos estudos fora do horário de aula?,14) Você tem dificuldade de organizar seu tempo para os estudos?,15) Você costuma estudar pelos livros e outros materiais sugeridos pelo professor?,16) Como você classifica sua dedicação ao curso?,17) Quais são suas maiores dificuldades no curso? ,18) Quais das grandes áreas da computação você encontra/encontrou maior dificuldade?,19) Você acha seu curso difícil? ,20) Você tem dificuldade em  imaginar e implementar um algoritmo para solucionar um problema apresentado?,21) Você procura o professor fora do horário das aulas?,22) Quantas vezes você reprovou?,23) Você conseguiu ser aprovado em disciplinas que reprovou anteriormente?,24) Quais os principais motivos que contribuíram para sua reprovação? ,"25) Na sua opinião, por que é comum ocorrerem reprovações nos cursos de graduação em computação? ",26) Que sugestões você daria para diminuir as reprovações no curso?,27) Como a estrutura física da sua Instituição interfere no seu desempenho acadêmico?,28) Qual sua renda familiar média?,29) Qual o meio de transporte geralmente utilizado para se deslocar para a instituição?,30) Você possui algum tipo de bolsa-auxílio/financiamento estudantil que contribua para sua permanência no curso?,"31) Em seu ambiente residencial, você possui recursos (computador, internet, etc) para estudar/aplicar o conhecimento recebido no seu curso?",32) Você acredita que a sua formação pode transformar sua atual realidade sócio-econômica?,33) Você visualiza atualmente oportunidades de atuação profissional em sua área de formação?,34) Você acredita que a formação que está recebendo será um diferencial para o ingresso no mercado de trabalho?,"35)  No futuro, após você se formar, como você acredita que será o mercado de trabalho na sua área?",36) Você acha que o curso prepara os alunos adequadamente para o mercado de trabalho?,"37) Em algum momento durante seu curso de Computação, você pensou em desistir dos estudos?","38) Se você pudesse refazer sua opção de curso, escolheria  novamente o seu curso?",39) Você já sofreu ou vivenciou algum tipo de discriminação? Conte o que ocorreu.,40)  Qual a instituição  que você cursou no ensino médio?
7/7/2020 17:05:43,Masculino,20,Ciência da Computação - Unioeste,2016,7º período / 4º ano,Integral,Sim,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"Gosto de jogos, internet e computador, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Gosto de jogos, internet e computador, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Desafio / Motivação pessoal, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Bastante,entre 1 e 2 horas,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Conteúdo das disciplinas, Metodologias utilizadas pelos professores, Problemas familiares, pessoais ou falta de motivação, Perceber a aplicabilidade dos conteúdos","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais), Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Completamente,Não,"Sim, algumas vezes",8,A maioria,"Falta de estudo, Disciplina muito difícil, Trabalhos difíceis ou extensos, Provas abstratas, Avaliações incompatíveis com a matéria dada, Motivos pessoais, Falta de frequência às aulas",Problemas pessoais e falta de compreensão dos conteúdos em geral.,"Assistências de forma a evitar a evasão, como palestras conscientizando sobre o que se trata o curso e acompanhamento do aluno como pessoa e não objeto.",Me sinto andando em um presidio ou algum prédio abandonado dependendo do bloco.,"De R$3000,00 a R$5000,00",A pé,Sim,Sim,Sim,Sim,Parcialmente,Promissor,Sim.,Sim,Sim,,Privado (particular)
7/7/2020 17:10:57,Feminino,23,Ciência da Computação - Unioeste,2016,7º período / 4º ano,Integral,Sim,Já trabalhei ou estagiei na área da computação antes de entrar no curso.,"Realização de cursos técnicos, Acredito que o curso é adequado ao meu perfil.","Interação com os professores do curso, Gosto do Curso",Bastante,Mais de 3 horas,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,A máxima possível,"Tempo para estudar, Problemas familiares, pessoais ou falta de motivação","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Bastante,Não,"Sim, sempre que tenho dúvidas",11,"Sim, todas","Disciplina muito difícil, Dificuldade para entender as explicações do professor, Trabalhos difíceis ou extensos, Motivos pessoais, Não consegui nota suficiente",A carga de estudo fora da sala de aula é muito grande. Além de trabalhos e estudo das disciplinas os alunos têm que fazer projetos de 20 horas semanais,"Aumentar o curso em 1 ano, assim as matérias seriam melhor distribuídas e o aluno não seria sobrecarregado",Não interfere,"De R$1000,00 a R$3000,00",Transporte público,Não,Sim,Não saberia dizer,Sim,Sim,Não sei dizer,Não,Sim,Sim,,Técnico integrado em Informática
7/7/2020 17:14:11,Masculino,21,Ciência da Computação - Unioeste,2017,5º período / 3º ano,Integral,Não,Nunca trabalhei na área.,Acredito que o curso é adequado ao meu perfil.,Gosto do Curso,Muito Pouco,entre 2 e 3 horas,Às vezes,Sim,A máxima possível,Perceber a aplicabilidade dos conteúdos,Nenhuma,Bastante,Pouca,Não,1,"Sim, todas",Avaliações incompatíveis com a matéria dada,Falta de detalhes nas explicações ou explicações corridas,"Uma atenção maior aos detalhes do conteúdo na hora de explica-lô, principalmente no primeiro ano",Não interfere,"De R$7000,00 a R$9000,00",Transporte público,Não,Sim,Sim,Sim,Parcialmente,Muito promissor,"Não, acredito que o fato d ser período integral atrapalha, já que isso tira a possibilidade de o aluno conseguir um emprego na área ainda durante a formação",Não,Sim,Nunca sofri,Público
7/7/2020 17:22:25,Masculino,43,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Cascavel,2020,1º período / 1ºano,Noturno,Sim,"Estou tentando uma vaga na área, mas não estou conseguindo.",Experiência profissional,"Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc)",Muito Pouco,entre 1 e 2 horas,Frequentemente,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,Tempo para estudar,"Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Pouco,Razoavelmente,"Sim, algumas vezes",Nenhuma,Nunca reprovei,Nunca reprovei,Tempo ,Não trabalhar,Apenas a distância do campus,"De R$1000,00 a R$3000,00",Transporte público,Não,Sim,Sim,Sim,Sim,Promissor,"Sim, mas será necessário metologias ativas mais aplicadas ",Não,Sim,não,Público
7/7/2020 17:28:27,Feminino,25,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2019,3º período / 2º ano,Noturno,Não,"Estou tentando uma vaga na área, mas não estou conseguindo.",Acredito que o curso é adequado ao meu perfil.,"Experiência profissional, incentivo da família e/ou amigos, Emprego futuro, Interação com os professores do curso, Desafio / Motivação pessoal, O curso é adequado ao meu perfil.",Não,entre 2 e 3 horas,Às vezes,Sim,A máxima possível,"Problemas familiares, pessoais ou falta de motivação, Perceber a aplicabilidade dos conteúdos","Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Razoavelmente,Razoavelmente,"Sim, algumas vezes",Nenhuma,Nunca reprovei,Nunca reprovei,"Porque os acadêmicos não buscam conhecer o ecossistema em que serão inseridos, antes de iniciarem o curso. ","Que os estudantes tenham um contato prévio, mesmo que mínimo, com as tecnologias que serão estudadas (antes de ingressarem).",Auxilia.,"De R$1000,00 a R$3000,00",Transporte público,Sim,Sim,Sim,Sim,Parcialmente,Muito promissor,"Parcialmente, pois o core do curso é mais teórico do que prático. Acredito que meu curso formará mais cientistas, pesquisadores e professores do que programadores/analistas/engenheiros. ",Sim,Sim,Sim. ,Público
7/7/2020 17:34:51,Feminino,21,Ciência da Computação - Unioeste,2017,7º período / 4º ano,Integral,Sim,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é adequado ao meu perfil.",Bastante,entre 2 e 3 horas,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Conteúdo das disciplinas, Metodologias utilizadas pelos professores","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais)",Bastante,Pouca,"Sim, sempre que tenho dúvidas",1,"Sim, todas","Falta de estudo, Dificuldade para entender as explicações do professor, Não consegui nota suficiente","O curso de cc é difícil, ele exige um conhecimento lógico que nós não somos apresentados no ensino público. Quando a gente chega no primeiro ano e é apresentado a diversos assuntos que tínhamos que ter estudado no ensino médio, tudo fica ainda pior ","Acho que principalmente pegar mais leve no primeiro ano. Muitos calouros não estão acostumados com o ritmo do curso, e não é algo que se aprende do dia pra noite",Acredito que em nada ,"De R$3000,00 a R$5000,00",Carro,Não,Sim,Sim,Sim,Sim,Muito promissor,"Mais ou menos. Acredito que temos um embasamento muito bom em relação a teoria, mas falta uma abordagem maior em relação a novas tecnologias disponíveis ",Não,Sim,Nunca ,Técnico integrado em Informática
7/7/2020 18:14:41,Feminino,19,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2019,3º período / 2º ano,Noturno,Não,Nunca trabalhei na área.,Emprego futuro,"incentivo da família e/ou amigos, Emprego futuro, Desafio / Motivação pessoal",Razoavelmente,Mais de 3 horas,Quase sempre,Sim,A máxima possível,"Conteúdo das disciplinas, Tempo para estudar, Falta de contato entre professor e aluno para sanar dúvidas, Problemas familiares, pessoais ou falta de motivação, Falta de abstração","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais), Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação), Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados), Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Bastante,Completamente,"Não, meus horários livres não coincidem com os horários de atendimento deles.",1,"Não, nenhuma","Disciplina muito difícil, Dificuldade para entender as explicações do professor, Trabalhos difíceis ou extensos, Provas abstratas, Avaliações incompatíveis com a matéria dada, Motivos pessoais, Não consegui nota suficiente",Falta de conhecimento do que realmente é o curso,Deixar claro que a pessoa tem que gostar de exatas e ser bom ,Horários para tirar dúvidas porque moro em outra cidade ,"Até R$1000,00",Associação dos universitários de icaraíma - Ônibus,Não,Sim,Sim,Sim,Parcialmente,Muito promissor,Sim,Sim,Não,Não ,Público
7/7/2020 18:26:52,Feminino,19,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2019,3º período / 2º ano,Noturno,Sim,"Estou tentando uma vaga na área, mas não estou conseguindo.","Gosto de jogos, internet e computador, Emprego futuro, Acredito que o curso é adequado ao meu perfil.","Gosto de jogos, internet e computador, Emprego futuro, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Gosto do Curso, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Muito Pouco,menos que 1 hora,Sempre,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Tempo para estudar, Perceber a aplicabilidade dos conteúdos, Falta de abstração","Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados)",Razoavelmente,Razoavelmente,"Sim, sempre que tenho dúvidas",Nenhuma,Nunca reprovei,Nunca reprovei,Falta de identificação com o curso,"Um mapa de perpectiva do futuro assim que os estudantes engressarem, assim os mesmo poderiam se identificar/projeta sua carreira de trabalhando na área. E incentivos práticos como visitas tecnicas/experimentos etc","O ambiente do IF Umuarama que sou aluna é bastante acolhedor e com ótima estrutura, não tenho empecilhos nesse quisito.","De R$1000,00 a R$3000,00",Transporte público,Sim,Sim,Sim,Sim,Parcialmente,Promissor,Mais ou menos,Não,Sim,Não ,Público
7/7/2020 18:34:50,Masculino,19,Ciência da Computação - Unioeste,2018,3º período / 2º ano,Integral,Não,Nunca trabalhei na área.,"Gosto de jogos, internet e computador, Realização de cursos técnicos, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa","incentivo da família e/ou amigos, Gosto de jogos, internet e computador, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Gosto do Curso, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa",Bastante,menos que 1 hora,Quase sempre,Sim,Mediana,"Conteúdo das disciplinas, Tempo para estudar, Problemas familiares, pessoais ou falta de motivação","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Bastante,Pouca,"Sim, algumas vezes",6,A maioria,"Falta de estudo, Disciplina muito difícil, Motivos pessoais, Não consegui nota suficiente","Particularmente falando: pela sobrecarga e o desgaste gerado com período integral, aliado com a dificuldade do curso.","Aumentar a duração do curso e torná-lo não integral, ou então aumentar a duração do curso e diminuir o ritmo das disciplinas, dando à elas mais carga horária e, assim, reduzindo a pressão sobre os alunos.","Acredito que a falta de computadores para uso dos alunos (ou falta de conhecimento da existência destes) provoca problemas. O tempo enorme que a maioria dos alunos do curso passam na faculdade é um grande complicador para a realização das atividades práticas que requererem um computador. Não são todos que tem notebook ou que tem este funcionando adequadamente durante o decorrer da graduação. Os laboratórios de informática da UNIOESTE para uso compartilhado entre os cursos pessuem computadores com recursos limitados, bloqueados para instalação de programas e não permitem boot em dispositivos externos devido às configurações de segurança das BIOS. Além disso, a virtualização é impraticável com a quantidade de memória que possuem.","De R$1000,00 a R$3000,00",Transporte público,Sim,Sim,Sim,Sim,Sim,Promissor,Sim,Sim,Sim,Não,Público
7/7/2020 18:56:42,Masculino,18,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2020,1º período / 1ºano,Noturno,Sim,Nunca trabalhei na área.,"Gosto de jogos, internet e computador, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Desafio / Motivação pessoal, O curso é adequado ao meu perfil.",Muito Pouco,entre 1 e 2 horas,Às vezes,Sim,A máxima possível,Tempo para estudar,"Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Pouco,Pouca,"Sim, algumas vezes",Nenhuma,Nunca reprovei,Nunca reprovei,Não estudei na faculdade tempo o suficiente para ter uma opinião,Não estudei na faculdade tempo o suficiente para ter uma opinião,Não estudei na faculdade tempo o suficiente para ter uma opinião,"De R$3000,00 a R$5000,00",Carro,Não,Sim,Sim,Sim,Sim,Promissor,Não estudei na faculdade tempo o suficiente para ter uma opinião,Não,Não,Não,Privado (particular)
7/7/2020 19:39:03,Masculino,18,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Cascavel,2019,4º período / 2º ano,Noturno,Sim,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Gosto de Design","Experiência profissional, Gosto do Curso",Razoavelmente,entre 1 e 2 horas,Às vezes,Sim,A máxima possível,Tempo para estudar,"Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais)",Bastante,Pouca,"Não, meus horários livres não coincidem com os horários de atendimento deles.",Nenhuma,Nunca reprovei,Nunca reprovei,"Por ser algo que não temos muito contato antes de entrarmos no curso, diferente de outras disciplinas como português, matemática, biologia etc, sendo assim, algo muito novo e diferente para o aluno, principalmente na parte lógica, principalmente no início.","Seguindo o raciocínio da pergunta 25, acredito que uma introdução a lógica de computação e linguagens de programação ajudaria a pensar se é realmente o curso que o aluno procura, ou gosta.","interfere de maneira positiva, pois possuem uma boa estrutura","Até R$1000,00",Van escolar,Não,Sim,Sim,Sim,Sim,Promissor,,Não,Sim,,Público
7/7/2020 19:41:53,Masculino,30,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Umuarama,2018,5º período / 3º ano,Noturno,Sim,"Estou tentando uma vaga na área, mas não estou conseguindo.","Emprego futuro, Realização de cursos técnicos","Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos",Bastante,entre 2 e 3 horas,Às vezes,Sim,Mediana,"Conteúdo das disciplinas, Tempo para estudar, Perceber a aplicabilidade dos conteúdos","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação), Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Razoavelmente,Razoavelmente,"Sim, sempre que tenho dúvidas",Nenhuma,Nunca reprovei,Nunca reprovei,"Acredito que por falta de tempo para estudar o suficiente, pois muitos precisam gerenciar o tempo entre estudar e trabalhar.","Aumentar o total de período do curso para dar possibilidade de trabalhar os conteúdos por um período maior de tempo, diminuindo assim o excesso de informaçoes de várias disciplinas.","Acredito que talvez uma ou outra disciplina somente, que necessite de um espaço maior para ter maior aproveitamento, isso no caso da disciplina que se tenha necessidade de trabalhar com hardwares, por exemplo.","De R$1000,00 a R$3000,00",carona,Não,Sim,Sim,Sim,Parcialmente,Muito promissor,"Na minha sincera opinião acredito que deixa a desejar em alguns aspectos. Não por conta da metodologia dos professores, mas pelo fato de boa parte,  ou uma grande maioria dos conteúdos vistos em curso não serem o suficientes para atuação em mercado. Gostaria que houvesse, inclusive mais dureza e complexidade nos conteúdos para que o aluno perceba que o ambiente acadêmico não deve ser local para ""pegar leve"" porque depois que vai trabalhar a gente percebe que deveria ter estudado mais. O aluno não deve se preocupar em ser aprovado, mas sim em aprender o conteúdo e que esse conteúdo seja útil no mercado.",Sim,Sim,Não ,Público
7/7/2020 19:49:37,Masculino,23,Ciência da Computação - Unioeste,2015,7º período / 4º ano,Integral,Sim,Nunca trabalhei na área.,"Gosto de jogos, internet e computador, Emprego futuro, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, Interação com os colegas do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Razoavelmente,entre 1 e 2 horas,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Tempo para estudar, Falta de contato entre professor e aluno para sanar dúvidas, Metodologias utilizadas pelos professores, Perceber a aplicabilidade dos conteúdos, Falta de abstração","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais), Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Razoavelmente,Razoavelmente,"Sim, sempre que tenho dúvidas",Mais de 20,A maioria,"Falta de estudo, Dificuldade para entender as explicações do professor, Provas abstratas, Avaliações incompatíveis com a matéria dada, Não consegui nota suficiente","No meu caso, acredito que a falta de metodologia ou o pouco uso dela dificulta o entendimento, muitas provas e trabalhos no mesmo período, dificuldade de explicação de alguns professores, material muito complexo ou raso demais, muito conteúdo para uma prova.","Aumentar a quantidade de provas porém com menos conteúdos em cada, isso ajuda a focar e dividir os conteúdos quando em assuntos complexos ou muito extensos, pois assim, as chances de notas maiores entre os alunos aumentam e isso não prejudica o sistema de avaliação.

Algumas matérias necessitam de mais trabalhos práticos.

Reformular a grade curricular, pois alguns conteúdos já não são aplicáveis. Exemplo: Em TDS eu estudei Java, sendo que, não é de hoje que as tecnologias web e aplicativos vêm ocupando boa parte do mercado e eu já tinha utilizado Java no curso, então acabou se tornando uma matéria ""inútil"".

Utilizar novas metodologias, algumas pessoas são mais visuais do que outras e muita teoria sem um embasamento prático dificulta bastante o entendimento, e vice-versa.","Eu faço trabalhos desde o primeiro ano basicamente com o mesmo grupo de pessoas, a gente interage e se comunica bem.

Portanto, pra trabalhos em grupos se tivessem salas disponíveis para um pequeno grupo de pessoas estudarem, assim como as salas pro pessoal dos projetos, ajudaria muito na dinâmica de estudos, uma vez que a biblioteca não é viável, por conta de barulhos, e ajeitar setup de estudos.

Basicamente, estimula um comportamento de ""mini-startups"" e por consequência, o empreendedorismo (matéria que é abordada no curso) e a inovação de ideias, isso torna as coisas mais dinâmicas e com o apoio da universidade e professores, ambos os envolvidos tirariam proveito.","De R$7000,00 a R$9000,00",Carro,Não,Sim,Sim,Sim,Parcialmente,Muito promissor,Não.,Sim,Sim,"Que eu saiba, diretamente, não.",Privado (particular)
7/7/2020 20:02:54,Masculino,19,Ciência da Computação - Unioeste,2018,4º período / 2º ano,Integral,Não,"Estou tentando uma vaga na área, mas não estou conseguindo.","Experiência profissional, Gosto de jogos, internet e computador, Emprego futuro, Acredito que o curso é adequado ao meu perfil.","incentivo da família e/ou amigos, Gosto de jogos, internet e computador, Interação com os colegas do curso, Gosto do Curso, Desafio / Motivação pessoal",Muito Pouco,entre 1 e 2 horas,Às vezes,Estudo pelos slides e pelas anotações das aulas que assisto.,Mediana,"Conteúdo das disciplinas, Tempo para estudar, Metodologias utilizadas pelos professores","Teoria da Computação (análise de algoritmos, lógica, computabilidade, linguagens formais), Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados)",Completamente,Pouca,"Não, eu não tenho horário para procurá-los",7,Algumas,"Disciplina muito difícil, Dificuldade para entender as explicações do professor, Trabalhos difíceis ou extensos, Provas abstratas, Motivos pessoais, Não consegui nota suficiente",Poucas provas com muito conteúdo e poucos trabalhos ,Mais trabalhos ou outras formas de obter nota,Não interfere ,"Acima de R$9000,00",Carro,Não,Sim,Sim,Sim,Parcialmente,Não sei dizer,"Não, o mercado cobra tecnologias mais atuais",Sim,Não,Não ,Privado (particular)
7/7/2020 21:28:42,Masculino,22,Ciência da Computação - Unioeste,2014,7º período / 4º ano,Integral,Não,"Estou tentando uma vaga na área, mas não estou conseguindo.","Realização de cursos técnicos, Acredito que o curso é adequado ao meu perfil.","incentivo da família e/ou amigos, Emprego futuro, Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Bastante,entre 1 e 2 horas,Às vezes,Sim,Mediana,"Metodologias utilizadas pelos professores, Perceber a aplicabilidade dos conteúdos, Falta de abstração","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Pouco,Pouca,"Sim, na véspera da prova",10,A maioria,"Falta de estudo, Disciplina muito difícil, Dificuldade para entender as explicações do professor, Trabalhos difíceis ou extensos, Provas abstratas, Não consegui nota suficiente","Acredito que o fato do curso tem alguns trabalhos extensos, dificultando o estudo pra outras matérias. Além da parte de programação muitas vezes ser feita no papel, o que faz com que exista falta de tempo na resolução das questões, o que me fez reprovar algumas vezes na mesma matéria. ","Acredito que a inclusão de provas praticas na parte de programação, ou uma metodologia diferente nesta parte.","A Unioeste tem uma boa estrutura na minha opinião. Algumas vezes temos problema na parte na conexão com o internet, ou um computador com defeito. Mas na sua grande maioria, o espeço oferecido é ótimo. Embora eu acredite que falte uma sala de estudos destinada exclusivamente a computação, com alguns computadores e espaço para o pensamento lógico criativo. ","De R$1000,00 a R$3000,00","Bicicleta, a pé e usando o transporte publico. Depende muito do clima do dia.",Não,Sim,Sim,Sim,Sim,Muito promissor,"Sim. Algumas matérias mostram um diferencial na parte de projetos e empreendedorismo. Os trabalhos, por maiores que sejam, ajudam na parte social.",Sim,Não,,Público
7/7/2020 21:45:47,Feminino,22,TADS (tecnologia em análise e desenvolvimento de sistemas) - IFPR Cascavel,2019,3º período / 2º ano,Noturno,Sim,Já trabalhei ou estagiei na área da computação antes de entrar no curso.,"Experiência profissional, Sugestão da família e/ou amigos, Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, Acredito que o curso é adequado ao meu perfil.","incentivo da família e/ou amigos, Gosto de jogos, internet e computador, Emprego futuro, Realização de cursos técnicos, Oportunidades que a universidade apresenta (ex: estágio, projeto de pesquisa, etc), Interação com os colegas do curso, Interação com os professores do curso, Gosto do Curso, Desafio / Motivação pessoal, O curso é na cidade em que moro, O curso é gratuito / consegui bolsa, O curso é adequado ao meu perfil.",Muito Pouco,menos que 1 hora,Às vezes,Sim,Mediana,"Conteúdo das disciplinas, Recursos financeiros, Problemas familiares, pessoais ou falta de motivação","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação), Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados), Sistemas de Computação (Hardware, Arquitetura de Sistemas de Computação)",Completamente,Bastante,"Não, meus horários livres não coincidem com os horários de atendimento deles.",Nenhuma,Nunca reprovei,Nunca reprovei,Curso complexo e área profissional em falta na cidade.,Maiores oportunidades para aumentar os conceitos.,"Bastante, acredito que o conforto e materiais de estudo são extremamente importantes.","De R$1000,00 a R$3000,00",Carro,Não,Sim,Sim,Sim,Sim,Muito promissor,Sim,Não,Sim,Não,Público
7/7/2020 22:44:10,Masculino,22,Ciência da Computação - Unioeste,2015,10º período / 5º ano,Integral,Sim,Só consegui trabalho ou estágio com computação após o ingresso no curso.,"Experiência profissional, Sugestão da família e/ou amigos, Gosto de jogos, internet e computador, Emprego futuro, O curso é na cidade em que moro, Acredito que o curso é adequado ao meu perfil.","Experiência profissional, incentivo da família e/ou amigos, Emprego futuro, Gosto do Curso, O curso é na cidade em que moro",Completamente,entre 2 e 3 horas,Às vezes,Sim,A máxima possível,Metodologias utilizadas pelos professores,"Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação)",Bastante,Pouca,"Sim, sempre que tenho dúvidas",12,"Sim, todas","Falta de estudo, Disciplina muito difícil, Provas abstratas, Avaliações incompatíveis com a matéria dada, Motivos pessoais","O curso exige muito, o aluno geralmente não tem a base necessária e é necessário um hábito de estudo e disciplina para obter resultados. Porém acredito que o psicológico é um dos fatores mais problemáticos no meu curso, tanto por experiência própria quanto por casos de colegas,principalmente o primeiro ano. ","Melhorar didática, focar mais em programação nos primeiros anos de curso ",É uma boa estrutura ,"De R$7000,00 a R$9000,00",Carro,Não,Sim,Sim,Sim,Sim,Muito promissor,"Sim e não. Sim pois possui um grau de exigência muito alto e obriga os alunos a aprenderem por conta própria. Mas o curso está desatualizado com as tecnologias do mercado, como o aluno é bem preparado acaba conseguindo se dar bem, porém a adaptação com o mercado é maior. ",Sim,Não,"Sim, apesar de no decorrer do curso eu ter feito inúmeras amizades, vários alunos tem comportamentos tóxicos e prejudiciais a outros colegas, já vivênciei momentos de extrema falta de respeito e empatia ",Público
7/8/2020 0:15:34,Masculino,19,Ciência da Computação - Unioeste,2018,5º período / 3º ano,Integral,Sim,Nunca trabalhei na área.,"Gosto de jogos, internet e computador, Emprego futuro, Acredito que o curso é adequado ao meu perfil.","Emprego futuro, O curso é adequado ao meu perfil.",Razoavelmente,menos que 1 hora,Às vezes,Sim,Mediana,"Tempo para estudar, Metodologias utilizadas pelos professores, Recursos financeiros","Matemática da Computação (matemática simbólica, cálculo, modelos análicos e de simulação), Metodologia e Técnicas da Computação (Linguagens de Programação, Engenharia de Software, Banco de Dados)",Completamente,Pouca,"Não, eu não tenho horário para procurá-los",10,Algumas,"Falta de estudo, Disciplina muito difícil, Dificuldade para entender as explicações do professor, Trabalhos difíceis ou extensos, Não consegui nota suficiente",Muito dificil atingir a media com o tempo disponivel para estudo,Média 60,Não interfere muito,"De R$3000,00 a R$5000,00",Transporte público,Não,Sim,Sim,Sim,Parcialmente,Promissor,Sim,Sim,Sim,Não,Público
